transformation,dataset,model,accuracy
none,udio_lara_cros_vila,sonics_alpha_5s,40.21
none,udio_lara_cros_vila,sonics_beta_5s,31
none,udio_lara_cros_vila,sonics_gamma_5s,22.43
none,udio_lara_cros_vila,sonics_alpha_120s,25.29
none,udio_lara_cros_vila,sonics_beta_120s,14.07
none,udio_lara_cros_vila,sonics_gamma_120s,25.07
none,udio_lara_cros_vila,cnn_lara_dataset,0.11
none,udio_lara_cros_vila,cnn_sonics,0.11
none,udio_lara_cros_vila,svm_lara,97.8
none,udio_lara_cros_vila,rf_lara,96.4
none,udio_lara_cros_vila,knn_lara,63.2
none,udio_lara_cros_vila,deezer,59
none,suno_lara_cros_vila,sonics_alpha_5s,25.48
none,suno_lara_cros_vila,sonics_beta_5s,25.05
none,suno_lara_cros_vila,sonics_gamma_5s,25.2
none,suno_lara_cros_vila,sonics_alpha_120s,99.29
none,suno_lara_cros_vila,sonics_beta_120s,98.72
none,suno_lara_cros_vila,sonics_gamma_120s,99.5
none,suno_lara_cros_vila,cnn_lara_dataset,74.02
none,suno_lara_cros_vila,cnn_sonics,0.0
none,suno_lara_cros_vila,svm_lara,98
none,suno_lara_cros_vila,rf_lara,98
none,suno_lara_cros_vila,knn_lara,98
none,suno_lara_cros_vila,deezer,87.87
none,real_lara_cros_vila,sonics_alpha_5s,91.51
none,real_lara_cros_vila,sonics_beta_5s,94.06
none,real_lara_cros_vila,sonics_gamma_5s,95.57
none,real_lara_cros_vila,sonics_alpha_120s,94.5
none,real_lara_cros_vila,sonics_beta_120s,98.21
none,real_lara_cros_vila,sonics_gamma_120s,93.02
none,real_lara_cros_vila,cnn_lara_dataset,96.89
none,real_lara_cros_vila,cnn_sonics,99.25
none,real_lara_cros_vila,svm_lara,99.4
none,real_lara_cros_vila,rf_lara,98.4
none,real_lara_cros_vila,knn_lara,96.5
none,real_lara_cros_vila,deezer,94.5
none,fake_sonics,sonics_alpha_5s,73.46
none,fake_sonics,sonics_beta_5s,68.97
none,fake_sonics,sonics_gamma_5s,63.64
none,fake_sonics,sonics_alpha_120s,93.62
none,fake_sonics,sonics_beta_120s,88.2
none,fake_sonics,sonics_gamma_120s,80.54
none,fake_sonics,cnn_lara_dataset,0.0
none,fake_sonics,cnn_sonics,77.5
none,fake_sonics,svm_lara,18.5
none,fake_sonics,rf_lara,20.1
none,fake_sonics,knn_lara,21.3
none,fake_sonics,deezer,48.2
none,real_sonics,sonics_alpha_5s,87.55
none,real_sonics,sonics_beta_5s,93.01
none,real_sonics,sonics_gamma_5s,95.85
none,real_sonics,sonics_alpha_120s,93.93
none,real_sonics,sonics_beta_120s,98.78
none,real_sonics,sonics_gamma_120s,91.65
none,real_sonics,cnn_lara_dataset,98.33
none,real_sonics,cnn_sonics,99.85
none,real_sonics,svm_lara,47.2
none,real_sonics,rf_lara,22.6
none,real_sonics,knn_lara,25.7
none,real_sonics,deezer,89.1
time_stretch,udio_lara_cros_vila,sonics_alpha_5s,35.34
time_stretch,udio_lara_cros_vila,sonics_beta_5s,26.24
time_stretch,udio_lara_cros_vila,sonics_gamma_5s,18.14
time_stretch,udio_lara_cros_vila,sonics_alpha_120s,22.64
time_stretch,udio_lara_cros_vila,sonics_beta_120s,11.64
time_stretch,udio_lara_cros_vila,sonics_gamma_120s,22.43
time_stretch,udio_lara_cros_vila,cnn_lara_dataset,0.32
time_stretch,udio_lara_cros_vila,cnn_sonics,0.53
